model,laptop-pearson,laptop-kendall,restaurant-pearson,restaurant-kendall
ROUGE-1,0.077506319858294,0.0348580613635343,0.086129057827801,0.0683307945772847
ROUGE-2,0.101671375810438,0.0785769940076862,0.0420402171308458,0.0265763149441625
ROUGE-L,0.0702142800559847,0.0254397560526539,0.0852079210221757,0.0697943131418304
SPICE,0.0744592845543739,0.0713167934405155,0.112232231692131,0.115641313199043
WMD,0.216925621819947,0.184403442699569,0.249016682227377,0.151244870346146
SBERT,0.430135326414722,0.310765057471341,0.450209756043731,0.330934232251481
MoverScore,0.228530035950169,0.172255781477924,0.205698483364674,0.155604864454238
