model,laptop-pearson,laptop-kendall,restaurant-pearson,restaurant-kendall
SBERT,0.430135326414722,0.310765057471341,0.450209756043731,0.330934232251481
WMD-SSWE,0.249819714482157,0.136439634424071,0.315938039190176,0.201701611574903
SOS^S_{PC},0.507002434343381,0.354038398691507,0.668363947942404,0.492380848566888
SOS^S_{Yelp},0.51516654379891,0.367245197635323,0.747389650271403,0.535488530293974
SOS^T_{PC},0.583797874397913,0.426978403660262,0.634218207516655,0.465925191695271
SOS^T_{Yelp},0.606041047975373,0.425205969104791,0.79402392168522,0.569455588520644
