ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,RESTAURANTPAIR1480,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1480,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1480,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1480,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR936,SYSTEM1.TXT,0.11111,0.10000,0.10526,1

ROUGE-1,RESTAURANTPAIR936,SYSTEM1.TXT,0.11111,0.10000,0.10526,1

ROUGE-2,RESTAURANTPAIR936,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR936,SYSTEM1.TXT,0.02857,0.02500,0.02667,1

ROUGE-L,RESTAURANTPAIR1481,SYSTEM1.TXT,0.25000,0.14286,0.18182,1

ROUGE-1,RESTAURANTPAIR1481,SYSTEM1.TXT,0.25000,0.14286,0.18182,1

ROUGE-2,RESTAURANTPAIR1481,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1481,SYSTEM1.TXT,0.06667,0.03333,0.04444,1

ROUGE-L,RESTAURANTPAIR935,SYSTEM1.TXT,0.12500,0.20000,0.15385,1

ROUGE-1,RESTAURANTPAIR935,SYSTEM1.TXT,0.11765,0.20000,0.14815,1

ROUGE-2,RESTAURANTPAIR935,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR935,SYSTEM1.TXT,0.02667,0.05000,0.03478,1

ROUGE-L,RESTAURANTPAIR1482,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1482,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1482,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1482,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR934,SYSTEM1.TXT,0.06250,0.10000,0.07692,1

ROUGE-1,RESTAURANTPAIR934,SYSTEM1.TXT,0.05556,0.10000,0.07143,1

ROUGE-2,RESTAURANTPAIR934,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR934,SYSTEM1.TXT,0.01250,0.02500,0.01667,1

ROUGE-L,RESTAURANTPAIR1483,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1483,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1483,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1483,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR933,SYSTEM1.TXT,0.11111,0.09091,0.10000,1

ROUGE-1,RESTAURANTPAIR933,SYSTEM1.TXT,0.11111,0.09091,0.10000,1

ROUGE-2,RESTAURANTPAIR933,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR933,SYSTEM1.TXT,0.02857,0.02222,0.02500,1

ROUGE-L,RESTAURANTPAIR1000,SYSTEM1.TXT,0.11111,0.05263,0.07143,1

ROUGE-1,RESTAURANTPAIR1000,SYSTEM1.TXT,0.10000,0.05263,0.06897,1

ROUGE-2,RESTAURANTPAIR1000,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1000,SYSTEM1.TXT,0.02500,0.01176,0.01600,1

ROUGE-L,RESTAURANTPAIR1484,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1484,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1484,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1484,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR932,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR932,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR932,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR932,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1001,SYSTEM1.TXT,0.20000,0.22222,0.21053,1

ROUGE-1,RESTAURANTPAIR1001,SYSTEM1.TXT,0.18182,0.20000,0.19048,1

ROUGE-2,RESTAURANTPAIR1001,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1001,SYSTEM1.TXT,0.06667,0.07500,0.07059,1

ROUGE-L,RESTAURANTPAIR1485,SYSTEM1.TXT,0.11111,0.09091,0.10000,1

ROUGE-1,RESTAURANTPAIR1485,SYSTEM1.TXT,0.11111,0.09091,0.10000,1

ROUGE-2,RESTAURANTPAIR1485,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1485,SYSTEM1.TXT,0.02857,0.02222,0.02500,1

ROUGE-L,RESTAURANTPAIR931,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR931,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR931,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR931,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

