pair_id,pr,re,f
pair_1192,0,0,0
pair_1193,0,0,0
pair_1194,0,0,0
pair_1195,0.1,0.2,0.133333333
pair_1196,0,0,0
pair_1197,0,0,0
pair_1198,0,0,0
pair_1199,0,0,0
pair_12,0.125,0.125,0.125
pair_120,0,0,0
pair_1200,0.0625,0.25,0.1
pair_1201,0,0,0
pair_1202,0.0625,0.333333333,0.105263158
pair_1203,0,0,0
pair_1204,0,0,0
pair_1205,0.5,0.25,0.333333333
pair_1206,0.5,0.5,0.5
pair_1207,0,0,0
pair_1208,0.5,0.25,0.333333333
pair_1209,0.5,0.333333333,0.4
pair_121,0,0,0
pair_1210,0,0,0
pair_1211,0,0,0
pair_1212,0,0,0
pair_1213,0,0,0
pair_1214,0,0,0
pair_1215,0,0,0
pair_1216,0,0,0
pair_1217,0,0,0
pair_1218,0,0,0
pair_1219,0,0,0
pair_122,0,0,0
pair_1220,0,0,0
pair_1221,0,0,0
pair_1222,0,0,0
pair_1223,0,0,0
pair_1224,0,0,0
pair_1225,0,0,0
pair_1226,0,0,0
pair_1227,0,0,0
pair_1228,0,0,0
pair_1229,0.125,0.166666667,0.142857143
pair_123,0,0,0
pair_1230,0,0,0
pair_1231,0,0,0
pair_1232,0,0,0
pair_1233,0,0,0
pair_1234,0,0,0
pair_1235,0,0,0
pair_1236,0,0,0
pair_1237,0,0,0
pair_1238,0,0,0
pair_1239,0,0,0
pair_124,0,0,0
pair_1240,0,0,0
pair_1241,0,0,0
pair_1242,0,0,0
pair_1243,0,0,0
pair_1244,0,0,0
pair_1245,0,0,0
pair_1246,0,0,0
pair_1247,0,0,0
pair_1248,0,0,0
pair_1249,0,0,0
pair_125,0,0,0
pair_1250,0,0,0
pair_1251,0,0,0
pair_1252,0,0,0
pair_1253,0,0,0
pair_1254,0,0,0
pair_1255,0,0,0
pair_1256,0,0,0
pair_1257,0,0,0
pair_1258,0,0,0
pair_1259,0,0,0
pair_126,0,0,0
pair_1260,1,0.333333333,0.5
pair_1261,0,0,0
pair_1262,0,0,0
pair_1263,0,0,0
pair_1264,0.090909091,0.142857143,0.111111111
pair_1265,1,0.5,0.666666667
pair_1266,0,0,0
pair_1267,0.125,0.333333333,0.181818182
pair_1268,0,0,0
pair_1269,0,0,0
pair_127,0,0,0
pair_1270,0,0,0
pair_1271,0,0,0
pair_1272,0,0,0
pair_1273,0,0,0
pair_1274,0,0,0
pair_1275,0,0,0
pair_1276,0,0,0
pair_1277,0,0,0
pair_1278,0,0,0
pair_1279,0,0,0
pair_128,0,0,0
pair_1280,0,0,0
pair_1281,0,0,0
pair_1282,0,0,0
pair_1283,0,0,0
pair_1284,0,0,0
pair_1285,0,0,0
pair_1286,0,0,0
pair_1287,0,0,0
pair_1288,0,0,0
pair_1289,0,0,0
pair_129,0,0,0
pair_1290,0,0,0
pair_1291,0,0,0
pair_1292,0,0,0
pair_1293,0,0,0
pair_1294,0,0,0
pair_1295,0,0,0
pair_1296,0,0,0
pair_1297,0,0,0
pair_1298,0,0,0
pair_1299,0,0,0
pair_13,0,0,0
pair_130,0,0,0
pair_1300,0,0,0
pair_1301,0,0,0
pair_1302,0,0,0
pair_1303,0,0,0
pair_1304,0,0,0
pair_1305,0.142857143,0.333333333,0.2
pair_1306,0,0,0
pair_1307,0,0,0
pair_1308,0,0,0
pair_1309,0,0,0
pair_131,0,0,0
pair_1310,0,0,0
pair_1311,0,0,0
pair_1312,0,0,0
pair_1313,0,0,0
pair_1314,0,0,0
pair_1315,0,0,0
pair_1316,0,0,0
pair_1317,0,0,0
pair_1318,0,0,0
pair_1319,0,0,0
pair_132,0,0,0
pair_1320,0.142857143,0.5,0.222222222
pair_1321,0,0,0
pair_1322,0.142857143,0.142857143,0.142857143
pair_1323,0.111111111,1,0.2
pair_1324,0.111111111,0.166666667,0.133333333
pair_1325,0,0,0
pair_1326,0.111111111,0.25,0.153846154
pair_1327,0,0,0
pair_1328,0.111111111,0.5,0.181818182
pair_1329,0.111111111,0.142857143,0.125
pair_133,0,0,0
pair_1330,0,0,0
pair_1331,0,0,0
pair_1332,0,0,0
pair_1333,0.125,0.166666667,0.142857143
pair_1334,0.125,0.142857143,0.133333333
pair_1335,0,0,0
pair_1336,0,0,0
pair_1337,0,0,0
pair_1338,0.125,0.142857143,0.133333333
pair_1339,0,0,0
pair_134,0,0,0
pair_1340,0,0,0
pair_1341,0,0,0
pair_1342,0,0,0
pair_1343,1,0.25,0.4
pair_1344,0,0,0
pair_1345,1,0.5,0.666666667
pair_1346,0,0,0
pair_1347,0.166666667,1,0.285714286
pair_1348,0.166666667,0.142857143,0.153846154
pair_1349,0.166666667,0.25,0.2
pair_135,0,0,0
pair_1350,0,0,0
pair_1351,0.166666667,0.5,0.25
pair_1352,0.166666667,0.142857143,0.153846154
pair_1353,0,0,0
pair_1354,0,0,0
pair_1355,0,0,0
pair_1356,0,0,0
pair_1357,0,0,0
pair_1358,0.142857143,0.142857143,0.142857143
pair_1359,0,0,0
pair_136,0,0,0
pair_1360,0.25,0.5,0.333333333
pair_1361,0,0,0
pair_1362,0,0,0
pair_1363,0,0,0
pair_1364,0,0,0
pair_1365,0,0,0
pair_1366,0,0,0
pair_1367,0,0,0
pair_1368,0,0,0
pair_1369,0.333333333,0.111111111,0.166666667
